,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
169,mammalian-sim,QR,9,0,1,9.32,0.08574,37,200,0.5X,true,0,0.5444117647058829,true
170,mammalian-sim,QR,10,0,1,11.76,0.084496,37,200,0.5X,true,0,0.5319117647058826,true
171,mammalian-sim,QR,11,0,1,9.57,0.085152,37,200,0.5X,true,0,0.5414705882352945,true
172,mammalian-sim,QR,12,2,0,9.42,0.085004,37,200,0.5X,true,0,0.5358823529411766,true
173,mammalian-sim,QR,13,0,1,9.15,0.085868,37,200,0.5X,true,0,0.5277941176470589,true
174,mammalian-sim,QR,14,2,0,9.27,0.086172,37,200,0.5X,true,0,0.5385294117647059,true
175,mammalian-sim,QR,15,0,1,24.57,0.085212,37,200,0.5X,true,0,0.5330882352941178,true
176,mammalian-sim,QR,16,0,1,25.8,0.08636,37,200,0.5X,true,0,0.538529411764706,true
177,mammalian-sim,QR,17,2,0,25.28,0.086008,37,200,0.5X,true,0,0.5464705882352946,true
178,mammalian-sim,QR,18,0,1,25.95,0.085144,37,200,0.5X,true,0,0.5388235294117649,true
179,mammalian-sim,QR,19,0,1,25.61,0.089476,37,200,0.5X,true,0,0.5461764705882357,true
180,mammalian-sim,QR*,0,2,0,22.33,0.083776,37,200,0.5X,true,0,0.5392647058823532,true
181,mammalian-sim,QR*,1,0,1,22.2,0.086388,37,200,0.5X,true,0,0.5366176470588236,true
182,mammalian-sim,QR*,2,2,0,21.46,0.084232,37,200,0.5X,true,0,0.535588235294118,true
183,mammalian-sim,QR*,3,2,0,21.6,0.085696,37,200,0.5X,true,0,0.5325000000000002,true
184,mammalian-sim,QR*,4,2,0,8.46,0.084648,37,200,0.5X,true,0,0.5423529411764709,true
185,mammalian-sim,QR*,5,2,0,8.06,0.086404,37,200,0.5X,true,0,0.5448529411764708,true
186,mammalian-sim,QR*,6,2,0,8.66,0.087512,37,200,0.5X,true,0,0.5405882352941179,true
187,mammalian-sim,QR*,7,2,0,8.51,0.085212,37,200,0.5X,true,0,0.5502941176470595,true
188,mammalian-sim,QR*,8,2,0,8.2,0.084792,37,200,0.5X,true,0,0.5345588235294119,true
189,mammalian-sim,QR*,9,2,0,7.97,0.083964,37,200,0.5X,true,0,0.5444117647058829,true
190,mammalian-sim,QR*,10,2,0,8.81,0.084132,37,200,0.5X,true,0,0.5319117647058826,true
191,mammalian-sim,QR*,11,2,0,8.31,0.085192,37,200,0.5X,true,0,0.5414705882352945,true
192,mammalian-sim,QR*,12,2,0,8.45,0.085524,37,200,0.5X,true,0,0.5358823529411766,true
193,mammalian-sim,QR*,13,2,0,8.16,0.083744,37,200,0.5X,true,0,0.5277941176470589,true
194,mammalian-sim,QR*,14,2,0,8.11,0.084284,37,200,0.5X,true,0,0.5385294117647059,true
195,mammalian-sim,QR*,15,0,1,7.52,0.08466,37,200,0.5X,true,0,0.5330882352941178,true
196,mammalian-sim,QR*,16,2,0,21.61,0.084432,37,200,0.5X,true,0,0.538529411764706,true
197,mammalian-sim,QR*,17,2,0,21.68,0.084516,37,200,0.5X,true,0,0.5464705882352946,true
198,mammalian-sim,QR*,18,2,0,22.65,0.084288,37,200,0.5X,true,0,0.5388235294117649,true
199,mammalian-sim,QR*,19,2,0,21.96,0.085828,37,200,0.5X,true,0,0.5461764705882357,true
200,mammalian-sim,QR,0,0,1,9.8,0.084056,37,50,0.5X,true,0,0.5392647058823532,true
201,mammalian-sim,QR,1,0,1,10.3,0.083176,37,50,0.5X,true,0,0.5366176470588236,true
202,mammalian-sim,QR,2,2,0,9.99,0.08342,37,50,0.5X,true,0,0.535588235294118,true
203,mammalian-sim,QR,3,2,0,9.92,0.08432,37,50,0.5X,true,0,0.5325000000000002,true
204,mammalian-sim,QR,4,0,1,10.33,0.083596,37,50,0.5X,true,0,0.5423529411764709,true
205,mammalian-sim,QR,5,0,1,10.29,0.084032,37,50,0.5X,true,0,0.5448529411764708,true
206,mammalian-sim,QR,6,0,1,9.8,0.083664,37,50,0.5X,true,0,0.5405882352941179,true
207,mammalian-sim,QR,7,2,0,10.39,0.083568,37,50,0.5X,true,0,0.5502941176470595,true
208,mammalian-sim,QR,8,10,0,10.39,0.083224,37,50,0.5X,true,0,0.5345588235294119,true
209,mammalian-sim,QR,9,0,1,9.83,0.083912,37,50,0.5X,true,0,0.5444117647058829,true
210,mammalian-sim,QR,10,0,1,10.1,0.083548,37,50,0.5X,true,0,0.5319117647058826,true
211,mammalian-sim,QR,11,2,0,10.35,0.08286,37,50,0.5X,true,0,0.5414705882352945,true
212,mammalian-sim,QR,12,10,0,10.03,0.086208,37,50,0.5X,true,0,0.5358823529411766,true
213,mammalian-sim,QR,13,2,0,27.44,0.083776,37,50,0.5X,true,0,0.5277941176470589,true
214,mammalian-sim,QR,14,2,0,26.29,0.08986,37,50,0.5X,true,0,0.5385294117647059,true
215,mammalian-sim,QR,15,0,1,27.22,0.085132,37,50,0.5X,true,0,0.5330882352941178,true
216,mammalian-sim,QR,16,2,0,26.97,0.08316,37,50,0.5X,true,0,0.538529411764706,true
217,mammalian-sim,QR,17,2,0,27.49,0.085928,37,50,0.5X,true,0,0.5464705882352946,true
218,mammalian-sim,QR,18,0,1,28.54,0.084684,37,50,0.5X,true,0,0.5388235294117649,true
219,mammalian-sim,QR,19,2,0,27.3,0.083556,37,50,0.5X,true,0,0.5461764705882357,true
220,mammalian-sim,QR*,0,0,1,24.01,0.084212,37,50,0.5X,true,0,0.5392647058823532,true
221,mammalian-sim,QR*,1,8,0,25.59,0.084772,37,50,0.5X,true,0,0.5366176470588236,true
222,mammalian-sim,QR*,2,2,0,9.2,0.083172,37,50,0.5X,true,0,0.535588235294118,true
223,mammalian-sim,QR*,3,2,0,9.3,0.082516,37,50,0.5X,true,0,0.5325000000000002,true
224,mammalian-sim,QR*,4,0,1,9.72,0.083436,37,50,0.5X,true,0,0.5423529411764709,true
225,mammalian-sim,QR*,5,2,0,9.76,0.082844,37,50,0.5X,true,0,0.5448529411764708,true
226,mammalian-sim,QR*,6,0,1,8.97,0.082528,37,50,0.5X,true,0,0.5405882352941179,true
227,mammalian-sim,QR*,7,2,0,9.52,0.083608,37,50,0.5X,true,0,0.5502941176470595,true
228,mammalian-sim,QR*,8,6,0,9.21,0.082744,37,50,0.5X,true,0,0.5345588235294119,true
229,mammalian-sim,QR*,9,2,0,8.99,0.083284,37,50,0.5X,true,0,0.5444117647058829,true
230,mammalian-sim,QR*,10,2,0,9.26,0.083836,37,50,0.5X,true,0,0.5319117647058826,true
231,mammalian-sim,QR*,11,2,0,9.48,0.087272,37,50,0.5X,true,0,0.5414705882352945,true
232,mammalian-sim,QR*,12,10,0,9.44,0.08362,37,50,0.5X,true,0,0.5358823529411766,true
233,mammalian-sim,QR*,13,2,0,9.62,0.0827,37,50,0.5X,true,0,0.5277941176470589,true
234,mammalian-sim,QR*,14,2,0,23.6,0.082704,37,50,0.5X,true,0,0.5385294117647059,true
235,mammalian-sim,QR*,15,2,0,24.33,0.083592,37,50,0.5X,true,0,0.5330882352941178,true
236,mammalian-sim,QR*,16,2,0,26.18,0.082396,37,50,0.5X,true,0,0.538529411764706,true
237,mammalian-sim,QR*,17,2,0,26.4,0.085624,37,50,0.5X,true,0,0.5464705882352946,true
238,mammalian-sim,QR*,18,0,1,25.64,0.082524,37,50,0.5X,true,0,0.5388235294117649,true
239,mammalian-sim,QR*,19,2,0,26.21,0.082364,37,50,0.5X,true,0,0.5461764705882357,true
