,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
144,mammalian-sim,QR*,4,10,0,9.99,0.084904,37,200,2X,true,0,0.18617647058823533,true
145,mammalian-sim,QR*,5,8,0,10.27,0.08604,37,200,2X,true,0,0.17897058823529413,true
146,mammalian-sim,QR*,6,10,0,10.78,0.084808,37,200,2X,true,0,0.18838235294117656,true
147,mammalian-sim,QR*,7,12,0,10.52,0.085764,37,200,2X,true,0,0.1832352941176471,true
148,mammalian-sim,QR*,8,6,0,10.44,0.086844,37,200,2X,true,0,0.18132352941176483,true
149,mammalian-sim,QR*,9,12,0,10.7,0.085408,37,200,2X,true,0,0.18779411764705878,true
150,mammalian-sim,QR*,10,10,0,10.73,0.085508,37,200,2X,true,0,0.17941176470588244,true
151,mammalian-sim,QR*,11,14,0,10.33,0.086068,37,200,2X,true,0,0.18382352941176477,true
152,mammalian-sim,QR*,12,4,0,9.74,0.087432,37,200,2X,true,0,0.18044117647058827,true
153,mammalian-sim,QR*,13,4,0,10.72,0.088456,37,200,2X,true,0,0.17617647058823535,true
154,mammalian-sim,QR*,14,4,0,27.78,0.085028,37,200,2X,true,0,0.18000000000000005,true
155,mammalian-sim,QR*,15,4,0,28.23,0.08818,37,200,2X,true,0,0.18117647058823533,true
156,mammalian-sim,QR*,16,4,0,28.4,0.088032,37,200,2X,true,0,0.18455882352941178,true
157,mammalian-sim,QR*,17,12,0,27.63,0.085008,37,200,2X,true,0,0.17897058823529421,true
158,mammalian-sim,QR*,18,16,0,28.23,0.085304,37,200,2X,true,0,0.1779411764705883,true
159,mammalian-sim,QR*,19,4,0,26.18,0.086004,37,200,2X,true,0,0.18911764705882358,true
160,mammalian-sim,optimal,0,0,1,1.66,0.035484,37,200,2X,true,0,0.18235294117647066,true
161,mammalian-sim,optimal,1,0,1,1.66,0.037512,37,200,2X,true,0,0.18352941176470608,true
162,mammalian-sim,optimal,2,0,1,1.66,0.03706,37,200,2X,true,0,0.18205882352941175,true
163,mammalian-sim,optimal,3,0,1,0.85,0.03714,37,200,2X,true,0,0.18205882352941175,true
164,mammalian-sim,optimal,4,0,1,0.85,0.036464,37,200,2X,true,0,0.18617647058823533,true
165,mammalian-sim,optimal,5,0,1,0.85,0.035972,37,200,2X,true,0,0.17897058823529413,true
166,mammalian-sim,optimal,6,0,1,0.83,0.036608,37,200,2X,true,0,0.18838235294117656,true
167,mammalian-sim,optimal,7,2,0,2.83,0.037804,37,200,2X,true,0,0.1832352941176471,true
168,mammalian-sim,optimal,8,0,1,0.86,0.036636,37,200,2X,true,0,0.18132352941176483,true
169,mammalian-sim,optimal,9,0,1,0.88,0.036252,37,200,2X,true,0,0.18779411764705878,true
170,mammalian-sim,optimal,10,0,1,0.86,0.035504,37,200,2X,true,0,0.17941176470588244,true
171,mammalian-sim,optimal,11,0,1,0.84,0.037136,37,200,2X,true,0,0.18382352941176477,true
172,mammalian-sim,optimal,12,0,1,2.19,0.035408,37,200,2X,true,0,0.18044117647058827,true
173,mammalian-sim,optimal,13,0,1,2.21,0.036204,37,200,2X,true,0,0.17617647058823535,true
174,mammalian-sim,optimal,14,0,1,2.15,0.036252,37,200,2X,true,0,0.18000000000000005,true
175,mammalian-sim,optimal,15,0,1,2.19,0.035168,37,200,2X,true,0,0.18117647058823533,true
176,mammalian-sim,optimal,16,2,0,2.16,0.035876,37,200,2X,true,0,0.18455882352941178,true
177,mammalian-sim,optimal,17,0,1,2.21,0.036448,37,200,2X,true,0,0.17897058823529421,true
178,mammalian-sim,optimal,18,0,1,2.19,0.036372,37,200,2X,true,0,0.1779411764705883,true
179,mammalian-sim,optimal,19,0,1,0.88,0.04214,37,200,2X,true,0,0.18911764705882358,true
